"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
10 1 17 472 0.0909090909090909 0.37037037037037 0.909090909090909 0.00211416490486258 0.567429295713407 "MDSD"
7 1 20 472 0.125 0.259259259259259 0.875 0.00211416490486258 0.463194241052352 "MDSD"
11 1 16 472 0.0833333333333333 0.407407407407407 0.916666666666667 0.00211416490486258 0.598523602370418 "MDSD"
7 0 20 473 0 0.259259259259259 1 0 0.498740054788835 "MDSD"
10 1 17 472 0.0909090909090909 0.37037037037037 0.909090909090909 0.00211416490486258 0.567429295713407 "MDSD"
8 2 19 471 0.2 0.296296296296296 0.8 0.00422832980972516 0.471518068343591 "MDSD"
8 1 19 472 0.111111111111111 0.296296296296296 0.888888888888889 0.00211416490486258 0.500111385565108 "MDSD"
9 4 18 469 0.307692307692308 0.333333333333333 0.692307692307692 0.00845665961945032 0.461418311509203 "MDSD"
9 5 18 468 0.357142857142857 0.333333333333333 0.642857142857143 0.0105708245243129 0.442194546824634 "MDSD"
14 0 13 473 0 0.518518518518518 1 0 0.710386290410657 "MDSD"
12 1 15 472 0.0769230769230769 0.444444444444444 0.923076923076923 0.00211416490486258 0.628236211548683 "MDSD"
9 2 18 471 0.181818181818182 0.333333333333333 0.818181818181818 0.00422832980972516 0.50710298317743 "MDSD"
10 1 17 472 0.0909090909090909 0.37037037037037 0.909090909090909 0.00211416490486258 0.567429295713407 "MDSD"
8 4 19 469 0.333333333333333 0.296296296296296 0.666666666666667 0.00845665961945032 0.425072017448543 "MDSD"
10 4 17 469 0.285714285714286 0.37037037037037 0.714285714285714 0.00845665961945032 0.495832895541839 "MDSD"
12 1 15 472 0.0769230769230769 0.444444444444444 0.923076923076923 0.00211416490486258 0.628236211548683 "MDSD"
12 0 15 473 0 0.444444444444444 1 0 0.656340797344377 "MDSD"
10 0 17 473 0 0.37037037037037 1 0 0.597930419105948 "MDSD"
6 2 21 471 0.25 0.222222222222222 0.75 0.00422832980972516 0.392671366348888 "MDSD"
10 3 17 470 0.230769230769231 0.37037037037037 0.769230769230769 0.00634249471458774 0.51702427818903 "MDSD"
8 5 19 468 0.384615384615385 0.296296296296296 0.615384615384615 0.0105708245243129 0.405812344829376 "MDSD"
11 3 16 470 0.214285714285714 0.407407407407407 0.785714285714286 0.00634249471458774 0.549471244259043 "MDSD"
7 7 20 466 0.5 0.259259259259259 0.5 0.0147991543340381 0.334917849390225 "MDSD"
11 0 16 473 0 0.407407407407407 1 0 0.627755608249385 "MDSD"
10 1 17 472 0.0909090909090909 0.37037037037037 0.909090909090909 0.00211416490486258 0.567429295713407 "MDSD"
12 0 15 473 0 0.444444444444444 1 0 0.656340797344377 "MDSD"
11 0 16 473 0 0.407407407407407 1 0 0.627755608249385 "MDSD"
11 2 16 471 0.153846153846154 0.407407407407407 0.846153846153846 0.00422832980972516 0.572630244868857 "MDSD"
12 0 15 473 0 0.444444444444444 1 0 0.656340797344377 "MDSD"
9 3 18 470 0.25 0.333333333333333 0.75 0.00634249471458774 0.482889212422501 "MDSD"
6 0 21 473 0 0.222222222222222 1 0 0.461275978742664 "MDSD"
6 1 21 472 0.142857142857143 0.222222222222222 0.857142857142857 0.00211416490486258 0.423424431897135 "MDSD"
8 1 19 472 0.111111111111111 0.296296296296296 0.888888888888889 0.00211416490486258 0.500111385565108 "MDSD"
9 1 18 472 0.1 0.333333333333333 0.9 0.00211416490486258 0.53472424372477 "MDSD"
13 2 14 471 0.133333333333333 0.481481481481481 0.866666666666667 0.00422832980972516 0.632331415066211 "MDSD"
10 4 17 469 0.285714285714286 0.37037037037037 0.714285714285714 0.00845665961945032 0.495832895541839 "MDSD"
9 0 18 473 0 0.333333333333333 1 0 0.566668663388519 "MDSD"
9 2 18 471 0.181818181818182 0.333333333333333 0.818181818181818 0.00422832980972516 0.50710298317743 "MDSD"
11 0 16 473 0 0.407407407407407 1 0 0.627755608249385 "MDSD"
7 2 20 471 0.222222222222222 0.259259259259259 0.777777777777778 0.00422832980972516 0.433554107741698 "MDSD"
9 2 18 471 0.181818181818182 0.333333333333333 0.818181818181818 0.00422832980972516 0.50710298317743 "MDSD"
10 0 17 473 0 0.37037037037037 1 0 0.597930419105948 "MDSD"
8 1 19 472 0.111111111111111 0.296296296296296 0.888888888888889 0.00211416490486258 0.500111385565108 "MDSD"
11 2 16 471 0.153846153846154 0.407407407407407 0.846153846153846 0.00422832980972516 0.572630244868857 "MDSD"
12 1 15 472 0.0769230769230769 0.444444444444444 0.923076923076923 0.00211416490486258 0.628236211548683 "MDSD"
11 0 16 473 0 0.407407407407407 1 0 0.627755608249385 "MDSD"
10 0 17 473 0 0.37037037037037 1 0 0.597930419105948 "MDSD"
