"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
2 2 2 494 0.5 0.5 0.5 0.00403225806451613 0.495967741935484 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 3 3 493 0.75 0.25 0.25 0.00604838709677419 0.243951612903226 "BIC"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
1 0 3 496 0 0.25 1 0 0.498494728144617 "MDSD"
