"TP" "FP" "FN" "TN" "FDR" "TPR" "Pre" "FPR" "MCC" "Criterion"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
9 1 1 489 0.1 0.9 0.9 0.00204081632653061 0.897959183673469 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
6 4 4 486 0.4 0.6 0.6 0.00816326530612245 0.591836734693878 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
8 2 2 488 0.2 0.8 0.8 0.00408163265306122 0.795918367346939 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
5 5 5 485 0.5 0.5 0.5 0.0102040816326531 0.489795918367347 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
7 3 3 487 0.3 0.7 0.7 0.00612244897959184 0.693877551020408 "BIC"
4 6 6 484 0.6 0.4 0.4 0.0122448979591837 0.387755102040816 "BIC"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
9 0 1 490 0 0.9 1 0 0.947716733053701 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
9 0 1 490 0 0.9 1 0 0.947716733053701 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
9 0 1 490 0 0.9 1 0 0.947716733053701 "MDSD"
10 2 0 488 0.166666666666667 1 0.833333333333333 0.00408163265306122 0.911006022367095 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
9 0 1 490 0 0.9 1 0 0.947716733053701 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
9 0 1 490 0 0.9 1 0 0.947716733053701 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
8 0 2 490 0 0.8 1 0 0.892607398288674 "MDSD"
9 0 1 490 0 0.9 1 0 0.947716733053701 "MDSD"
